CHL(mg/m^3),SST(°C),salinity(ppt),salinity(PSU),Wind_Speed_ERA5(m/s),Wind_Direction_ERA5(degree north),TP(mm),STD_200Km,STD_100Km,SST_STD_12months(°C),SST_STD_6months(°C),Salinity_STD_6months,Status_TR10,delta(200-100),Next_Month_CHL,Next_Month_Status
2.84964,23.79,16777.28571,36.77728571,2.62067872,47.72136716,0.00002,0.3963,0.5673,1.930855228,1.740226877,134.6911729,Not Bloom,-0.171,4.16036,NON_BLOOM
4.16036,24.825,16708.8,36.7088,1.884712335,37.20306322,0.00128,0.3358,0.3072,1.805812519,1.752038693,127.6034177,Not Bloom,0.0286,,NON_BLOOM
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,5.36381,
5.36381,27.795,16870.26667,36.87026667,4.625490526,1.779308082,0,0.6313,0.5245,1.534695217,1.168552048,73.31820744,Not Bloom,0.1068,12.55221,BLOOM
12.55221,26.24,16901.33333,36.90133333,1.326503179,-13.29815885,0,0.7296,0.7942,1.531451291,0.833053703,91.83634046,Bloom,-0.0646,12.47452,BLOOM
12.47452,26.505,16682.03571,36.68203571,1.911552147,111.2163162,0,0.525,0.6634,1.404687836,0.634473207,95.93263533,Bloom,-0.1384,4.75458,NON_BLOOM
4.75458,25.955,16607.62069,36.60762069,0.888286074,-39.57270972,0.00001,0.4635,0.5137,1.334779099,0.766112572,103.7798138,Not Bloom,-0.0502,2.70885,NON_BLOOM
2.70885,25.84,16877.68966,36.87768966,2.085869039,51.68636373,0.00001,0.4361,0.6152,1.321807672,0.847011495,109.1619806,Not Bloom,-0.1791,2.44555,NON_BLOOM
2.44555,24.075,16996.72414,36.99672414,0.645188763,104.3855997,0.00388,0.4208,0.5947,1.328165179,1.098474953,134.039519,Not Bloom,-0.1739,6.91979,NON_BLOOM
6.91979,23.885,16812.0566,36.8120566,0.890693802,79.80311729,0.00242,0.2998,0.3461,1.314468365,1.039024649,132.3349505,Not Bloom,-0.0463,3.39027,NON_BLOOM
3.39027,24.23,16752.44828,36.75244828,1.593209956,48.15368797,0.00225,0.3532,0.3503,1.372601633,1.043582239,127.290819,Not Bloom,0.0029,2.40451,NON_BLOOM
2.40451,25.67,16657.60377,36.65760377,2.094322527,63.6272394,0,0.3473,0.4315,1.372724632,0.888672934,130.9565185,Not Bloom,-0.0842,4.02485,NON_BLOOM
4.02485,27.385,16535.74214,36.53574214,3.713547783,39.94194831,0,0.4726,0.5678,1.363565078,1.247548986,148.6395556,Not Bloom,-0.0952,,NON_BLOOM
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,10.77888,
10.77888,26.675,16541.23077,36.54123077,1.527270698,7.646000891,0,0.603,0.5844,1.441245603,1.084915511,47.63747762,Bloom,0.0186,16.59249,BLOOM
16.59249,27.135,16642.02439,36.64202439,1.395913192,37.15180913,0,0.5116,0.6118,1.467968882,0.901907315,44.18226552,Bloom,-0.1002,6.83069,NON_BLOOM
6.83069,26.305,16750.67857,36.75067857,1.00252149,159.8508748,0.0001,0.5893,0.7239,1.468159278,0.966300577,68.30543527,Not Bloom,-0.1346,2.93795,NON_BLOOM
2.93795,24.61,16754.3,36.7543,0.698441119,-90.09659589,0.00043,0.4551,0.5904,1.526936612,0.91201433,84.36866698,Not Bloom,-0.1353,3.28848,NON_BLOOM
3.28848,23.475,16751.46667,36.75146667,2.419837509,74.65186242,0.00008,0.4279,0.6139,1.598369612,1.266235947,91.19560162,Not Bloom,-0.186,7.64851,NON_BLOOM
7.64851,23.585,16095.81481,36.09581481,2.024525823,43.54311897,0.00027,0.3391,0.4566,1.632952974,1.472853664,233.8746808,Not Bloom,-0.1175,2.65994,NON_BLOOM
2.65994,24.88,16500.07407,36.50007407,2.701529739,49.42594653,0.00002,0.3282,0.1998,1.584822983,1.338879092,235.7783541,Not Bloom,0.1284,1.29796,NON_BLOOM
1.29796,26.66,16443.03571,36.44303571,2.723614814,49.08957297,0.00001,0.4047,0.4671,1.590646925,1.218863599,239.0305987,Not Bloom,-0.0624,,NON_BLOOM
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
